name,lat,lon
호타루,37.504737,127.046153
요술포차,37.500411,127.03357
경성야시장,37.536189,127.125621
구스토타코,37.548186,126.922774
타코몽,37.557071,126.932094
삽다리곱창,37.545861,127.048788
왕십리곱창,37.56759,127.023262
순대곱창막창,37.490881,126.894115
왕장군주먹고기,37.571037,126.816425
경상도집,37.548971,126.835777
능이버섯백숙전문점,37.649377,127.01275
다래 함박스텍,37.632777,127.018887
장꼬방 묵은 김치찌개,37.486877,127.023653
삼목등심,37.506398,126.962018
순천집,37.512978,126.934836
석촌옛터,37.509472,127.106032
솔낭구,37.498649,127.0322949
할배순댓국,37.5802,126.971
연복짜장,37.5684,126.9305
춫어탕,37.576,127.0263
사천짜장,37.5097,127.0582
꼽창집,37.541221,127.069986
타코몽,37.594137,127.084852
서해주꾸미,37.656619,127.063225
Bongur,37.566786,126.988833
라멘모토,37.502723,127.02434
